ID,NAME,CLASS
1,CHAPS,Surfactant
2,Triton X-100,Surfactant
3,Alg,Polymer
4,AP,Polymer
5,BSA,Protein
6,Iota-Car,Polymer
7,Kappa-Car,Polymer
8,Lambda-Car,Polymer
9,CMC,Polymer
10,CM-Dex,Polymer
11,Cas,Protein
12,Chit,Polymer
13,CSA,Polymer
14,Col-I,Protein
15,Dex,Polymer
16,Dex-S,Polymer
17,DEAE-Dex,Polymer
18,FBS,Protein
19,Guar,Polymer
20,GA,Polymer
21,Ghatti,Polymer
22,HA,Polymer
23,HEC,Polymer
24,HES,Polymer
25,HPC,Polymer
26,HPMC,Polymer
27,Lig,Polymer
28,MC,Polymer
29,Muc,Protein
30,DDAO,Surfactant
31,CA-630,Surfactant
32,Pec,Polymer
33,Pep,Protein
34,F-127,Surfactant
35,PAMPS,Polymer
36,PEtOx,Polymer
37,PSSA,Polymer
38,PSSA/MA,Polymer
39,PQuat,Surfactant
40,PAsp,Protein
41,PLys,Protein
42,PAm,Polymer
43,PAA,Polymer
44,PAllAm,Polymer
45,PDADMAC,Polymer
46,PEG,Polymer
47,PEGDA,Polymer
48,PEI,Polymer
49,PMA,Polymer
50,PMV/MA,Polymer
51,PNIPAm,Polymer
52,PPG,Polymer
53,Ficoll,Polymer
54,PVA,Polymer
55,PVP,Polymer
56,PVSA,Polymer
57,CO-630,Surfactant
58,Tween,Surfactant
59,Brij,Polymer
60,K2HPO4,Salt
61,Pul,Polymer
62,Chol,Surfactant
63,Citrate,Salt
64,DChol,Surfactant
65,SDS,Surfactant
66,Na2HPO4,Salt
67,Trag,Polymer
68,XG,Polymer
